placement,size,bandwidth_MBps,cluster,source
diff_socket_same_node,4096,31431.44,aion,eessi
diff_socket_same_node,8192,32721.92,aion,eessi
diff_socket_same_node,16384,34927.25,aion,eessi
diff_socket_same_node,32768,36555.83,aion,eessi
diff_socket_same_node,65536,37936.94,aion,eessi
diff_socket_same_node,131072,14609.64,aion,eessi
diff_socket_same_node,262144,8147.78,aion,eessi
diff_socket_same_node,524288,8028.47,aion,eessi
diff_socket_same_node,1048576,7977.59,aion,eessi
inter_node,1,3.67,aion,eessi
inter_node,2,7.54,aion,eessi
inter_node,4,14.76,aion,eessi
inter_node,8,28.11,aion,eessi
inter_node,16,59.0,aion,eessi
inter_node,32,121.18,aion,eessi
inter_node,64,237.29,aion,eessi
inter_node,128,429.99,aion,eessi
inter_node,256,810.88,aion,eessi
inter_node,512,1378.48,aion,eessi
inter_node,1024,3091.92,aion,eessi
inter_node,2048,6257.52,aion,eessi
inter_node,4096,9797.56,aion,eessi
inter_node,8192,10942.95,aion,eessi
inter_node,16384,11672.79,aion,eessi
inter_node,32768,11960.72,aion,eessi
inter_node,65536,12129.25,aion,eessi
inter_node,131072,12237.89,aion,eessi
inter_node,262144,12286.48,aion,eessi
inter_node,524288,12323.25,aion,eessi
inter_node,1048576,12316.47,aion,eessi
same_numa,1,27.14,aion,local
same_numa,2,53.87,aion,local
same_numa,4,105.28,aion,local
same_numa,8,219.87,aion,local
same_numa,16,444.28,aion,local
same_numa,32,973.29,aion,local
same_numa,64,1868.62,aion,local
same_numa,128,3593.89,aion,local
same_numa,256,7378.2,aion,local
same_numa,512,12853.77,aion,local
same_numa,1024,20052.29,aion,local
same_numa,2048,27562.39,aion,local
same_numa,4096,29289.28,aion,local
same_numa,8192,30579.16,aion,local
same_numa,16384,32746.61,aion,local
same_numa,32768,34944.27,aion,local
same_numa,65536,36175.02,aion,local
same_numa,131072,18285.89,aion,local
same_numa,262144,8559.04,aion,local
same_numa,524288,8512.88,aion,local
same_numa,1048576,8447.41,aion,local
diff_numa_same_socket,1,26.91,aion,local
diff_numa_same_socket,2,54.22,aion,local
diff_numa_same_socket,4,109.76,aion,local
diff_numa_same_socket,8,230.79,aion,local
diff_numa_same_socket,16,452.65,aion,local
diff_numa_same_socket,32,990.12,aion,local
diff_numa_same_socket,64,1983.49,aion,local
diff_numa_same_socket,128,3667.84,aion,local
diff_numa_same_socket,256,7065.24,aion,local
diff_numa_same_socket,512,13021.89,aion,local
diff_numa_same_socket,1024,20864.38,aion,local
diff_numa_same_socket,2048,28209.27,aion,local
diff_numa_same_socket,4096,30680.67,aion,local
diff_numa_same_socket,8192,31739.53,aion,local
diff_numa_same_socket,16384,33387.18,aion,local
diff_numa_same_socket,32768,35153.98,aion,local
diff_numa_same_socket,65536,28239.75,aion,local
diff_numa_same_socket,131072,14232.09,aion,local
diff_numa_same_socket,262144,10410.69,aion,local
diff_numa_same_socket,524288,8907.61,aion,local
diff_numa_same_socket,1048576,8914.74,aion,local
diff_socket_same_node,1,25.35,aion,local
diff_socket_same_node,2,53.06,aion,local
diff_socket_same_node,4,106.66,aion,local
diff_socket_same_node,8,210.86,aion,local
diff_socket_same_node,16,449.84,aion,local
diff_socket_same_node,32,938.71,aion,local
diff_socket_same_node,64,1904.31,aion,local
diff_socket_same_node,128,3598.56,aion,local
